survived,pclass,sex,age,sibsp,parch,fare,embarked,family_size,is_alone,age_group,fare_per_person,title,age_group_Child,age_group_Teen,age_group_Adult,age_group_Middle_Age,age_group_Senior,title_child,title_man,title_woman
0,3,male,-0.544795716251218,1,0,-0.529048807969089,S,0.035513783200323175,0,Adult,-0.4686784306336028,man,False,False,True,False,False,False,True,False
1,1,female,0.5987349402444708,1,0,0.6958842991242256,C,0.035513783200323175,0,Middle_Age,0.3751793683094511,woman,False,False,False,True,False,False,False,True
1,3,female,-0.2589130521272958,0,0,-0.5161363101392413,S,-0.6223367722723301,1,Adult,-0.3553440082172934,woman,False,False,True,False,False,False,False,True
1,1,female,0.3843229421515292,1,0,0.3480445631398259,S,0.035513783200323175,0,Adult,0.13555218189986065,woman,False,False,True,False,False,False,False,True
0,3,male,0.3843229421515292,0,0,-0.5137451068374177,S,-0.6223367722723301,1,Adult,-0.3520494029144937,man,False,False,True,False,False,False,True,False
0,3,male,-0.3303837181582764,0,0,-0.5059344803723409,Q,-0.6223367722723301,1,Adult,-0.34128790415342886,man,False,False,True,False,False,False,True,False
0,1,male,1.7422655967401597,0,0,0.32437165045177163,S,-0.6223367722723301,1,Middle_Age,0.8027097557167981,man,False,False,False,True,False,False,True,False
0,3,male,-1.9742090368708292,3,1,-0.26458172278739334,S,2.009065449618283,0,Child,-0.45312789360438827,child,True,False,False,False,False,True,False,False
1,3,female,-0.18744238609631528,0,2,-0.45476272971331483,S,0.6933643386729765,0,Adult,-0.46640910650103445,woman,False,False,True,False,False,False,False,True
1,2,female,-1.1165610444990626,1,0,-0.09249542948703181,C,0.035513783200323175,0,Teen,-0.16793631585707802,child,False,True,False,False,False,True,False,False
1,3,female,-1.8312677048088681,1,1,-0.3482738383512211,S,0.6933643386729765,0,Child,-0.41750222826344763,child,True,False,False,False,False,True,False,False
1,1,female,2.0281482608640817,0,0,-0.15984701816751742,S,-0.6223367722723301,1,Middle_Age,0.13555218189986065,woman,False,False,False,True,False,False,False,True
0,3,male,-0.6877370483131792,0,0,-0.5137451068374177,S,-0.6223367722723301,1,Adult,-0.3520494029144937,man,False,False,True,False,False,False,True,False
0,3,male,0.6702056062754514,1,5,-0.06945953335858349,S,3.324766560563589,0,Middle_Age,-0.44646337773472494,man,False,False,False,True,False,False,True,False
0,3,female,-1.1165610444990626,0,0,-0.5174906876893942,S,-0.6223367722723301,1,Teen,-0.3572100726607992,child,False,True,False,False,False,True,False,False
1,2,female,1.8137362627711402,0,0,-0.3616645768414335,S,-0.6223367722723301,1,Middle_Age,-0.14251250565643334,woman,False,False,False,True,False,False,False,True
0,3,male,-1.9742090368708292,4,1,-0.11058823014995024,Q,2.666916005090936,0,Child,-0.4362814784894058,child,True,False,False,False,False,True,False,False
1,2,male,0.026969611996626397,0,0,-0.4190534560852011,S,-0.6223367722723301,1,Adult,-0.22158303292362594,man,False,False,True,False,False,False,True,False
0,3,female,0.09844027802760695,1,0,-0.32340532401225514,S,0.035513783200323175,0,Adult,-0.32701040261321607,woman,False,False,True,False,False,False,False,True
1,3,female,-0.5805310492667083,0,0,-0.5295270486294538,C,-0.6223367722723301,1,Adult,-0.3737937979129717,woman,False,False,True,False,False,False,False,True
0,2,male,0.3843229421515292,0,0,-0.1703683126955415,S,-0.6223367722723301,1,Adult,0.12105591856754198,man,False,False,True,False,False,False,True,False
1,2,male,0.3128522761205486,0,0,-0.4190534560852011,S,-0.6223367722723301,1,Adult,-0.22158303292362594,man,False,False,True,False,False,False,True,False
1,3,female,-1.0450903784680818,0,0,-0.5141430030668411,Q,-0.6223367722723301,1,Teen,-0.3525976252368796,child,False,True,False,False,False,True,False,False
1,1,male,-0.11597172006533471,0,0,0.011363138243055909,S,-0.6223367722723301,1,Adult,0.3714459215803185,man,False,False,True,False,False,False,True,False
0,3,female,-1.5453850406849459,3,1,-0.26458172278739334,S,2.009065449618283,0,Child,-0.45312789360438827,child,True,False,False,False,False,True,False,False
1,3,female,0.5987349402444708,1,5,-0.06730745038694219,S,3.324766560563589,0,Middle_Age,-0.44603978562436497,woman,False,False,False,True,False,False,False,True
0,3,male,-0.3303837181582764,0,0,-0.5295270486294538,C,-0.6223367722723301,1,Adult,-0.3737937979129717,man,False,False,True,False,False,False,True,False
