survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,is_alone,age_group,fare_per_person,title,fare_bin,sex_male,embarked_C,embarked_Q,embarked_S,pclass_1,pclass_2,pclass_3,age_group_Child,age_group_Teen,age_group_Adult,age_group_Middle_Age,age_group_Senior,title_child,title_man,title_woman,fare_bin_Low,fare_bin_Medium,fare_bin_High,fare_bin_Very_High,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G
0,3,male,-0.544795716251218,1,0,-0.529048807969089,S,Third,man,True,,Southampton,no,False,0.035513783200323175,0,Adult,-0.4686784306336028,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1,1,female,0.5987349402444708,1,0,0.6958842991242256,C,First,woman,False,C,Cherbourg,yes,False,0.035513783200323175,0,Middle_Age,0.3751793683094511,woman,Very_High,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
1,3,female,-0.2589130521272958,0,0,-0.5161363101392413,S,Third,woman,False,,Southampton,yes,True,-0.6223367722723301,1,Adult,-0.3553440082172934,woman,Low,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1,1,female,0.3843229421515292,1,0,0.3480445631398259,S,First,woman,False,C,Southampton,yes,False,0.035513783200323175,0,Adult,0.13555218189986065,woman,Very_High,0,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
0,3,male,0.3843229421515292,0,0,-0.5137451068374177,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3520494029144937,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,3,male,-0.3303837181582764,0,0,-0.5059344803723409,Q,Third,man,True,,Queenstown,no,True,-0.6223367722723301,1,Adult,-0.34128790415342886,man,Medium,1,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
0,1,male,1.7422655967401597,0,0,0.32437165045177163,S,First,man,True,E,Southampton,no,True,-0.6223367722723301,1,Middle_Age,0.8027097557167981,man,Very_High,1,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0,3,male,-1.9742090368708292,3,1,-0.26458172278739334,S,Third,child,False,,Southampton,no,False,2.009065449618283,0,Child,-0.45312789360438827,child,High,1,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1,3,female,-0.18744238609631528,0,2,-0.45476272971331483,S,Third,woman,False,,Southampton,yes,False,0.6933643386729765,0,Adult,-0.46640910650103445,woman,Medium,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
1,2,female,-1.1165610444990626,1,0,-0.09249542948703181,C,Second,child,False,,Cherbourg,yes,False,0.035513783200323175,0,Teen,-0.16793631585707802,child,High,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1,3,female,-1.8312677048088681,1,1,-0.3482738383512211,S,Third,child,False,G,Southampton,yes,False,0.6933643386729765,0,Child,-0.41750222826344763,child,High,0,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
1,1,female,2.0281482608640817,0,0,-0.15984701816751742,S,First,woman,False,C,Southampton,yes,True,-0.6223367722723301,1,Middle_Age,0.13555218189986065,woman,High,0,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
0,3,male,-0.6877370483131792,0,0,-0.5137451068374177,S,Third,man,True,,Southampton,no,True,-0.6223367722723301,1,Adult,-0.3520494029144937,man,Low,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
